word_count,usd_pledged_real
55,11315.66
31,7749
45,1300
26,53.41
39,1525.34
27,0
55,0
52,40
49,12527
5,10056
44,2578
45,3264
16,4479
39,153
57,900
28,2884.42
26,15
54,1313
49,3075
22,600
24,1451
54,0
55,560785.5
49,0
26,5662
11,0
23,354.62
44,19631.22
80,4100
60,10.96
28,190.7
51,10200
38,0
5,75
44,2
35,133.55
26,2835
52,56
56,200
19,0
37,637.46
57,20987
51,3095
20,10001
46,21
34,635
58,12730
17,43
46,1431
22,0
56,3
28,420.36
44,905
51,524
33,8351
29,70
27,2910
18,200
24,352
16,2
47,26
54,1278.57
36,10002
71,1415
28,3728.1
49,208.96
56,2696
16,2902
52,250
9,11
42,1055.11
33,5113
60,380
61,26245
44,867
12,162
34,0
10,3640
26,6509
60,0
15,26349
60,4250
24,0
29,80
26,1
35,1910.66
8,12103.07
34,1045
34,0
58,153.17
26,61.82
20,429
41,125
39,297
47,0
22,100
12,0
32,7003
21,4930
16,3286.58
29,490
45,112750.92
44,835
29,9089.58
11,124
60,257
7,12023
50,2816
14,5.86
18,40.61
42,2365.28
15,0
21,1108.59
51,1500
15,1130
52,176.7
39,31920
41,55867
30,0
36,0
49,2276
60,0
18,150
34,20639
12,5084
38,0
59,20
15,30
9,22151.66
59,311730.42
16,1
29,4189.32
57,687
18,160
22,2935
37,0
54,0
19,3453.1
28,5928
58,0
56,95399
59,1050
58,50
53,40
28,4065.69
31,110
51,3805
50,2224.2
36,19801.5
38,6555
20,9329
22,9846
45,200
35,0
52,278.19
18,0
41,5170
28,5070
52,7102.5
34,0
62,4154.8
60,2123.66
53,545
59,6990
25,0
33,40199.51
23,10
45,3665
51,2431
50,0
10,659.88
52,1995.98
6,0
24,150
41,345
57,20604.02
46,1140
17,9660.05
28,0
48,110
21,128.53
52,4617
32,1012
20,0
9,11.17
46,11818
23,1500
43,295
58,90.81
18,70
60,601
29,705
9,45051.92
7,33.14
40,155
31,1
60,535
11,0
22,2115
34,4414
51,1100
56,25
39,10
25,45
27,0
35,1576.08
41,153812.96
37,10
16,6591
25,0
28,0
47,450
12,0
35,8202
53,8195
44,15973
14,0
12,350
11,0
50,935
60,744
55,1275
32,50.16
28,4441
28,12500.15
60,14804.71
35,10
36,6207.12
40,3
13,0
60,22167
38,16423
22,78.06
61,1125
29,0
20,679
38,5088
18,50
29,1755
17,0
40,15125
56,4190.07
35,52
57,885
30,0
31,25
28,9051
17,29730
29,1225
19,88.69
50,146.33
27,550
24,10
56,52
47,65.66
42,920
38,26271
34,3106
33,51237.19
45,0
26,27149
22,0
40,373
44,525
40,490
36,525
49,256.02
24,10
34,381
42,2774
35,0
37,73
59,701.8
35,219.11
39,3810
32,0
58,3798
39,19484
45,0
23,444
55,3135
59,5192.13
53,455
13,10050
59,68.52
53,4408
22,2175
36,249.75
32,2075
33,3235.67
25,104701.12
41,155
23,0
13,50
53,2191
51,0
48,11397.17
39,4769.54
48,25
37,1226.33
57,29314.76
41,181
9,46
48,1787
16,1085
56,168.25
17,38890.36
37,2225
52,1
